entry_time,exit_time,side,entry,exit,sl,tp_vwap,atr,r,reason,bars_held,cum_r
2022-01-05 14:40:00,2022-01-05 14:45:00,long,29118.319,29081.078614518687,29081.078614518687,29303.253632768352,31.033654567759815,-1.0000000000000286,SL,1,14.94839798215005
2022-01-06 12:40:00,2022-01-06 13:40:00,short,28813.419,28750.419,28851.317553620996,28667.161026143796,31.582128017494846,1.662332568942718,TIMEOUT,12,16.610730551092768
2022-01-06 15:00:00,2022-01-06 15:55:00,short,28788.469,28684.42023388583,28820.164019598877,28684.42023388583,26.41251633239641,3.2828112249490915,VWAP,11,19.89354177604186
2022-01-06 18:40:00,2022-01-06 19:00:00,short,28778.519,28691.44711382115,28809.666287836015,28691.44711382115,25.95607319667784,2.795488539396255,VWAP,4,22.689030315438117
2022-01-06 20:40:00,2022-01-06 20:50:00,long,28568.469,28518.58809327712,28518.58809327712,28696.317253275116,41.56742226906491,-1.000000000000031,SL,2,21.689030315438085
2022-01-06 20:55:00,2022-01-06 21:05:00,long,28471.419,28414.892109303877,28414.892109303877,28694.033123563226,47.10574224676939,-1.0000000000000238,SL,2,20.68903031543806
2022-01-06 21:10:00,2022-01-06 22:10:00,long,28338.369,28413.269,28274.94750624658,28690.23522695036,52.851244794515864,1.1809876363242173,TIMEOUT,12,21.87001795176228
2022-01-07 02:30:00,2022-01-07 03:05:00,short,28501.519,28451.877924731183,28530.249856498485,28451.877924731183,23.942380415403733,1.7277965685233083,VWAP,7,23.59781452028559
2022-01-07 03:35:00,2022-01-07 03:45:00,long,28401.269,28371.634335848823,28371.634335848823,28454.702409090904,24.695553459313288,-1.0000000000000449,SL,2,22.597814520285542
2022-01-07 08:45:00,2022-01-07 09:45:00,long,28376.469,28448.68532075471,28347.13682924421,28448.68532075471,24.44347562982726,2.462017603673175,VWAP,12,25.059832123958717
2022-01-07 10:10:00,2022-01-07 10:20:00,long,28361.369,28322.674686000337,28322.674686000337,28442.008945799455,32.24526166638621,-0.9999999999999616,SL,2,24.059832123958756
2022-01-07 10:45:00,2022-01-07 10:50:00,long,28286.419,28245.184232119227,28245.184232119227,28436.091435897433,34.362306567312956,-0.9999999999999771,SL,1,23.059832123958778
2022-01-07 12:35:00,2022-01-07 13:35:00,long,28336.469,28401.419,28301.152519821775,28418.310074561403,29.430400148521233,1.8390847466176974,TIMEOUT,12,24.898916870576475
2022-01-07 14:25:00,2022-01-07 14:40:00,long,28371.419,28414.02518773947,28343.631068904862,28414.02518773947,23.15660924595076,1.5332623214586123,VWAP,3,26.432179192035086
2022-01-09 18:20:00,2022-01-09 18:30:00,long,28333.419,28294.903404264838,28294.903404264838,28400.71433333333,32.096329779303616,-0.9999999999999786,SL,2,25.432179192035107
2022-01-09 22:55:00,2022-01-09 23:20:00,short,28431.469,28454.747509590787,28454.747509590787,28386.07,19.398757992320867,-1.000000000000028,SL,5,24.43217919203508
2022-01-09 23:25:00,2022-01-10 00:25:00,short,28481.469,28483.999,28503.95358160229,28391.487838383837,18.73715133524244,-0.11252155120115988,TIMEOUT,12,24.31965764083392
2022-01-10 02:05:00,2022-01-10 02:25:00,short,28531.469,28552.74626571737,28552.74626571737,28491.14592307693,17.73105476447499,-1.0000000000000018,SL,4,23.319657640833917
2022-01-10 06:10:00,2022-01-10 06:25:00,long,28466.519,28441.07336621078,28441.07336621078,28504.714511111113,21.204694824350376,-0.9999999999999369,SL,3,22.31965764083398
2022-01-10 06:35:00,2022-01-10 06:45:00,long,28436.999,28411.363275959233,28411.363275959233,28501.472208333336,21.363103367305126,-1.000000000000031,SL,2,21.31965764083395
2022-01-10 07:10:00,2022-01-10 07:15:00,long,28416.319,28389.209279240626,28389.209279240626,28496.039191570882,22.591433966146244,-0.9999999999999407,SL,1,20.31965764083401
2022-01-10 07:20:00,2022-01-10 07:35:00,long,28356.319,28326.830822406457,28326.830822406457,28493.161134831462,24.573481327952635,-0.9999999999999873,SL,3,19.319657640834023
2022-01-10 18:55:00,2022-01-10 19:05:00,short,28378.519,28427.060750179964,28427.060750179964,28295.300201923088,40.45145848330274,-1.0000000000000118,SL,2,18.319657640834013
