20230102 202400;25662.999000;25672.369000;25637.269000;25664.999000;0
20230102 202500;25667.319000;25667.999000;25654.419000;25657.999000;0
20230102 202600;25652.469000;25657.319000;25644.369000;25652.269000;0
20230102 202700;25647.519000;25652.469000;25642.369000;25644.419000;0
20230102 202800;25647.269000;25649.519000;25642.319000;25642.319000;0
20230102 202900;25639.319000;25642.469000;25612.419000;25632.519000;0
20230102 203000;25627.519000;25627.519000;25607.319000;25622.419000;0
20230102 203100;25617.999000;25622.999000;25597.519000;25607.319000;0
20230102 203200;25604.269000;25627.319000;25602.269000;25622.269000;0
20230102 203300;25617.999000;25637.469000;25612.269000;25627.369000;0
20230102 203400;25629.469000;25642.999000;25622.519000;25637.469000;0
20230102 203500;25639.519000;25647.999000;25632.269000;25644.369000;0
20230102 203600;25647.519000;25652.319000;25637.319000;25642.269000;0
20230102 203700;25637.319000;25657.369000;25637.319000;25647.519000;0
20230102 203800;25649.469000;25649.469000;25632.519000;25639.469000;0
20230102 203900;25642.999000;25642.999000;25632.469000;25639.999000;0
20230102 204000;25637.469000;25657.469000;25632.419000;25652.419000;0
20230102 204100;25647.419000;25652.999000;25642.999000;25647.469000;0
20230102 204200;25649.469000;25667.319000;25642.469000;25659.469000;0
20230102 204300;25657.319000;25662.519000;25654.519000;25654.999000;0
20230102 204400;25659.369000;25667.469000;25659.269000;25667.369000;0
20230102 204500;25672.999000;25672.999000;25649.519000;25654.319000;0
20230102 204600;25652.999000;25657.469000;25644.269000;25644.999000;0
20230102 204700;25642.369000;25654.469000;25639.269000;25649.999000;0
20230102 204800;25652.999000;25659.999000;25647.269000;25657.999000;0
20230102 204900;25654.319000;25662.999000;25652.519000;25654.519000;0
20230102 205000;25657.519000;25657.519000;25637.319000;25642.469000;0
20230102 205100;25639.519000;25647.999000;25637.319000;25642.319000;0
20230102 205200;25647.369000;25652.269000;25644.419000;25652.269000;0
20230102 205300;25654.469000;25654.469000;25634.319000;25644.469000;0
20230102 205400;25647.999000;25652.469000;25647.999000;25649.419000;0
20230102 205500;25652.369000;25654.369000;25647.269000;25652.999000;0
20230102 205600;25654.519000;25664.419000;25649.469000;25664.419000;0
20230102 205700;25669.369000;25687.999000;25664.369000;25687.319000;0
20230102 205800;25684.269000;25699.999000;25684.269000;25694.369000;0
20230102 205900;25697.469000;25702.469000;25694.469000;25699.269000;0
20230102 210000;25697.319000;25697.319000;25687.369000;25687.369000;0
20230102 210100;25684.519000;25684.519000;25679.319000;25679.419000;0
20230102 210200;25682.999000;25682.999000;25669.419000;25674.419000;0
20230102 210300;25672.319000;25684.419000;25667.269000;25684.419000;0
20230102 210400;25687.369000;25689.469000;25684.319000;25687.369000;0
20230102 210500;25689.469000;25689.469000;25677.319000;25684.999000;0
20230102 210600;25679.319000;25679.519000;25672.999000;25679.519000;0
20230102 210700;25677.369000;25684.999000;25677.369000;25679.369000;0
20230102 210800;25677.999000;25679.369000;25677.519000;25679.319000;0
20230102 210900;25677.419000;25692.999000;25677.419000;25689.519000;0
20230102 211000;25692.419000;25694.269000;25684.469000;25694.269000;0
20230102 211100;25697.319000;25702.519000;25694.519000;25699.319000;0
20230102 211200;25697.369000;25704.369000;25692.319000;25692.319000;0
20230102 211300;25689.519000;25694.999000;25682.519000;25682.999000;0
20230102 211400;25684.519000;25684.519000;25672.269000;25672.269000;0
20230102 211500;25667.519000;25669.999000;25657.369000;25664.469000;0
20230102 211600;25662.369000;25664.319000;25642.519000;25652.469000;0
20230102 211700;25662.369000;25667.999000;25659.369000;25667.519000;0
20230102 211800;25672.519000;25687.999000;25672.519000;25684.269000;0
20230102 211900;25682.269000;25689.519000;25682.269000;25687.369000;0
20230102 212000;25684.419000;25692.999000;25684.269000;25687.469000;0
20230102 212100;25689.269000;25692.419000;25684.269000;25684.269000;0
20230102 212200;25682.369000;25684.519000;25679.519000;25682.419000;0
20230102 212300;25679.369000;25692.999000;25679.369000;25689.999000;0
20230102 212400;25692.369000;25699.999000;25689.519000;25694.519000;0
20230102 212500;25692.369000;25702.319000;25687.999000;25699.519000;0
20230102 212600;25702.999000;25702.999000;25694.469000;25694.469000;0
20230102 212700;25692.469000;25692.469000;25684.419000;25684.419000;0
20230102 212800;25687.369000;25697.269000;25684.519000;25694.419000;0
20230102 212900;25697.369000;25697.519000;25694.319000;25694.469000;0
20230102 213000;25692.319000;25692.319000;25684.419000;25687.369000;0
20230102 213100;25684.419000;25687.999000;25682.419000;25684.369000;0
20230102 213200;25687.369000;25692.419000;25679.369000;25684.319000;0
20230102 213300;25682.369000;25692.369000;25679.999000;25692.369000;0
20230102 213400;25697.999000;25697.999000;25687.369000;25687.469000;0
20230102 213500;25692.469000;25697.419000;25689.999000;25697.269000;0
20230102 213600;25694.269000;25697.519000;25692.319000;25697.419000;0
20230102 213700;25694.469000;25719.319000;25694.269000;25714.269000;0
20230102 213800;25717.269000;25719.519000;25712.269000;25717.269000;0
20230102 213900;25722.519000;25727.369000;25712.319000;25714.369000;0
20230102 214000;25712.269000;25724.269000;25707.519000;25719.469000;0
20230102 214100;25717.419000;25722.519000;25712.419000;25712.419000;0
20230102 214200;25714.519000;25714.519000;25709.269000;25712.419000;0
20230102 214300;25709.469000;25714.369000;25709.319000;25712.369000;0
20230102 214400;25709.269000;25719.519000;25707.269000;25717.999000;0
20230102 214500;25719.519000;25719.519000;25707.269000;25709.999000;0
20230102 214600;25707.369000;25707.369000;25697.319000;25699.519000;0
20230102 214700;25702.419000;25702.419000;25697.319000;25699.319000;0
20230102 214800;25702.369000;25709.469000;25697.419000;25704.469000;0
20230102 214900;25702.519000;25704.999000;25697.269000;25697.999000;0
20230102 215000;25699.369000;25712.999000;25699.369000;25712.999000;0
20230102 215100;25714.369000;25717.469000;25707.469000;25707.469000;0
20230102 215200;25709.269000;25712.999000;25707.469000;25707.469000;0
20230102 215300;25709.369000;25712.999000;25709.369000;25712.269000;0
20230102 215400;25709.369000;25717.999000;25709.369000;25714.319000;0
20230102 215500;25712.519000;25712.519000;25704.519000;25707.269000;0
20230102 215600;25709.269000;25709.269000;25704.319000;25704.319000;0
20230102 215700;25707.269000;25712.519000;25704.999000;25704.999000;0
20230102 215800;25702.469000;25704.419000;25699.269000;25704.369000;0
20230102 215900;25702.519000;25712.369000;25702.319000;25709.369000;0
20230102 220000;25712.519000;25717.469000;25707.519000;25709.269000;0
20230102 220100;25707.419000;25707.419000;25702.419000;25704.519000;0
20230102 220200;25707.319000;25712.519000;25704.269000;25709.999000;0
20230102 220300;25712.469000;25714.999000;25709.369000;25712.369000;0
20230102 220400;25709.419000;25714.369000;25709.419000;25712.999000;0
20230102 220500;25714.269000;25714.269000;25702.469000;25704.519000;0
20230102 220600;25707.519000;25707.519000;25702.269000;25702.999000;0
20230102 220700;25707.269000;25709.469000;25702.369000;25707.999000;0
20230102 220800;25704.999000;25707.999000;25702.269000;25704.999000;0
20230102 220900;25702.469000;25704.519000;25692.369000;25694.519000;0
20230102 221000;25697.469000;25697.469000;25692.319000;25694.519000;0
20230102 221100;25697.469000;25707.419000;25697.469000;25704.419000;0
20230102 221200;25707.369000;25709.419000;25707.369000;25709.419000;0
20230102 221300;25712.369000;25722.999000;25712.369000;25717.419000;0
20230102 221400;25714.419000;25717.269000;25707.419000;25707.419000;0
20230102 221500;25709.519000;25714.419000;25702.469000;25704.319000;0
20230102 221600;25707.369000;25714.469000;25699.319000;25704.519000;0
20230102 221700;25707.419000;25709.999000;25707.269000;25709.469000;0
20230102 221800;25707.269000;25712.319000;25707.269000;25709.469000;0
20230102 221900;25707.519000;25709.999000;25707.419000;25707.469000;0
20230102 222000;25712.369000;25734.419000;25712.369000;25727.319000;0
20230102 222100;25729.369000;25729.469000;25719.319000;25722.469000;0
20230102 222200;25724.369000;25729.369000;25712.269000;25714.469000;0
20230102 222300;25717.469000;25719.999000;25712.469000;25714.419000;0
20230102 222400;25707.469000;25709.519000;25704.319000;25707.419000;0
20230102 222500;25709.469000;25717.419000;25709.319000;25709.319000;0
20230102 222600;25704.519000;25709.269000;25702.999000;25704.319000;0
20230102 222700;25699.469000;25704.999000;25699.469000;25704.999000;0
20230102 222800;25702.419000;25704.319000;25692.369000;25694.319000;0
20230102 222900;25697.269000;25709.369000;25694.319000;25707.469000;0
20230102 223000;25709.369000;25709.369000;25699.369000;25707.519000;0
20230102 223100;25712.999000;25724.469000;25712.269000;25714.419000;0
20230102 223200;25717.419000;25729.319000;25717.269000;25724.269000;0
20230102 223300;25727.319000;25727.319000;25717.269000;25719.999000;0
20230102 223400;25722.469000;25727.519000;25719.369000;25724.419000;0
20230102 223500;25722.999000;25724.999000;25714.269000;25714.269000;0
20230102 223600;25717.519000;25722.469000;25714.269000;25722.419000;0
20230102 223700;25719.319000;25722.999000;25719.319000;25722.369000;0
20230102 223800;25719.469000;25722.999000;25719.269000;25719.319000;0
20230102 223900;25722.469000;25722.469000;25714.269000;25714.269000;0
20230102 224000;25717.369000;25722.999000;25717.319000;25719.419000;0
20230102 224100;25722.999000;25722.999000;25707.319000;25709.419000;0
20230102 224200;25712.519000;25717.999000;25709.999000;25714.999000;0
20230102 224300;25717.469000;25727.999000;25714.269000;25727.999000;0
20230102 224400;25724.369000;25727.999000;25722.269000;25724.999000;0
20230102 224500;25727.519000;25742.519000;25724.519000;25734.319000;0
20230102 224600;25732.269000;25737.999000;25732.269000;25734.469000;0
20230102 224700;25737.469000;25747.469000;25737.369000;25737.419000;0
20230102 224800;25739.419000;25742.999000;25737.269000;25742.419000;0
20230102 224900;25747.319000;25747.419000;25742.269000;25742.469000;0
20230102 225000;25739.319000;25747.419000;25739.319000;25747.319000;0
20230102 225100;25744.419000;25747.999000;25742.369000;25742.999000;0
20230102 225200;25744.269000;25744.999000;25742.419000;25744.999000;0
20230102 225300;25742.999000;25742.999000;25737.369000;25742.999000;0
20230102 225400;25744.999000;25747.999000;25744.999000;25747.999000;0
20230102 225500;25752.999000;25752.999000;25752.999000;25752.999000;0
20230102 225600;25747.519000;25752.319000;25747.519000;25752.319000;0
20230102 225700;25749.419000;25752.519000;25747.369000;25747.369000;0
20230102 225800;25752.319000;25752.999000;25749.469000;25752.469000;0
20230102 225900;25757.469000;25757.469000;25757.469000;25757.469000;0
20230102 230000;25759.269000;25759.469000;25752.319000;25757.469000;0
20230102 230100;25754.999000;25757.519000;25749.269000;25752.999000;0
20230102 230200;25749.419000;25749.419000;25742.519000;25742.519000;0
20230102 230300;25744.419000;25747.519000;25744.269000;25744.519000;0
20230102 230400;25742.469000;25744.999000;25742.319000;25744.419000;0
20230102 230500;25747.319000;25754.469000;25747.319000;25749.519000;0
20230102 230600;25747.319000;25749.319000;25742.269000;25742.269000;0
20230102 230700;25737.999000;25742.469000;25732.319000;25732.319000;0
20230102 230800;25734.469000;25737.269000;25727.269000;25727.319000;0
20230102 230900;25729.469000;25729.469000;25717.319000;25722.519000;0
20230102 231000;25727.269000;25737.999000;25724.269000;25732.999000;0
20230102 231100;25729.269000;25732.999000;25727.369000;25729.469000;0
20230102 231200;25724.269000;25724.269000;25714.369000;25717.369000;0
20230102 231300;25719.319000;25722.469000;25719.319000;25719.419000;0
20230102 231400;25717.519000;25719.369000;25712.519000;25712.519000;0
20230102 231500;25717.269000;25722.469000;25712.999000;25719.419000;0
20230102 231600;25722.519000;25722.999000;25719.319000;25722.999000;0
