entry_time,exit_time,side,entry,exit,sl,tp_vwap,atr,r,reason,bars_held,cum_r
2023-07-20 18:50:00,2023-07-20 20:00:00,long,32344.999,32323.09194767048,32323.09194767048,32424.446600000014,18.255876941265775,-1.0000000000000262,SL,3,-64.08588286636768
2023-07-21 01:05:00,2023-07-21 01:20:00,long,32323.369,32288.603857078273,32288.603857078273,32375.701380952378,28.970952434772936,-0.9999999999999499,SL,3,-65.08588286636763
2023-07-21 01:25:00,2023-07-21 02:25:00,long,32273.269,32308.319,32237.70304063444,32357.971592592592,29.63829947130251,0.98549288772839,TIMEOUT,12,-64.10038997863924
2023-07-21 03:35:00,2023-07-21 03:40:00,short,32545.369,32590.45903526794,32590.45903526794,32334.5074090909,37.575029389951446,-1.0000000000000027,SL,1,-65.10038997863924
2023-07-21 03:45:00,2023-07-21 03:55:00,short,32613.419,32664.570897756545,32664.570897756545,32345.497478260862,42.62658146378476,-1.000000000000023,SL,2,-66.10038997863927
2023-07-23 22:45:00,2023-07-23 23:00:00,short,32761.999,32804.10275146784,32804.10275146784,32677.794652173914,35.086459556536305,-0.9999999999999821,SL,3,-67.10038997863926
2023-07-24 01:45:00,2023-07-24 02:10:00,long,32659.999,32629.578644501664,32629.578644501664,32707.36869696969,25.350296248613848,-0.9999999999999796,SL,5,-68.10038997863924
2023-07-24 02:15:00,2023-07-24 03:15:00,long,32629.269,32636.419,32597.368016146203,32695.858404761897,26.584153211496346,0.22413101842784514,TIMEOUT,12,-67.8762589602114
2023-07-24 03:30:00,2023-07-24 03:50:00,long,32616.519,32674.666131782935,32588.981911368497,32674.666131782935,22.94757385958567,2.111593297354372,VWAP,4,-65.76466566285703
2023-07-24 06:10:00,2023-07-24 06:25:00,long,32639.369,32615.984095941876,32615.984095941876,32673.542600000004,19.487420048436007,-0.9999999999999752,SL,3,-66.764665662857
2023-07-24 06:50:00,2023-07-24 09:05:00,long,32616.999,32594.79459209,32594.79459209,32669.313136546192,18.503673258334715,-0.9999999999999913,SL,4,-67.76466566285698
2023-07-24 09:10:00,2023-07-24 09:50:00,long,32589.469,32568.501022360237,32568.501022360237,32665.744643939404,17.47331469980302,-1.0000000000000318,SL,8,-68.76466566285701
