dt,open,high,low,close,vwap,atr,rsi2,adx15
2023-01-02 23:55:00,25702.269,25704.999,25692.319,25694.519,25750.610574074075,18.816608738784584,4.705120813437745,
2023-01-03 00:00:00,25692.319,25697.419,25687.269,25697.269,25693.985666666664,18.197565257442932,28.665474978211535,
2023-01-03 00:05:00,25699.999,25712.469,25697.469,25712.469,25700.727333333332,17.98345345333992,81.12586823382213,
2023-01-03 00:10:00,25707.319,25707.999,25697.469,25707.419,25701.916777777777,17.770349635244212,54.49578735387544,
2023-01-03 00:15:00,25704.469,25722.469,25704.469,25722.469,25705.55483333333,17.786753232726767,84.60895291643959,
2023-01-03 00:20:00,25724.519,25742.999,25722.269,25737.269,25711.279666666665,17.996985144674824,93.3127397310687,
2023-01-03 00:25:00,25739.419,25742.419,25722.269,25724.369,25714.347333333335,18.1507719200553,46.98950174232721,
2023-01-03 00:30:00,25727.369,25732.519,25717.369,25732.519,25716.22185714286,17.936431068622884,67.42370044289706,53.78474366372084
2023-01-03 00:35:00,25727.419,25742.369,25727.419,25739.269,25718.73816666667,17.72311456372104,80.11841410318954,53.78474366372084
2023-01-03 00:40:00,25737.419,25764.419,25737.319,25749.269,25722.249000000003,18.39289209488398,90.77267354660545,53.78474366372084
2023-01-03 00:45:00,25752.519,25767.419,25752.319,25767.269,25726.257666666672,18.375542659535228,96.84986974211893,50.59971950314241
2023-01-03 00:50:00,25769.369,25772.519,25759.319,25759.369,25729.66475757576,18.00586104099705,61.370721636285396,50.59971950314241
2023-01-03 00:55:00,25762.369,25772.419,25757.319,25767.519,25732.672055555555,17.798299538068846,77.99964963233886,50.59971950314241
2023-01-03 01:00:00,25764.269,25777.999,25762.269,25767.519,25735.48669230769,17.650563856778184,77.99964963233886,47.220613724086
2023-01-03 01:05:00,25772.269,25772.269,25742.269,25747.999,25736.821857142855,18.532666438436884,15.2220981895112,47.220613724086
2023-01-03 01:10:00,25744.419,25752.999,25737.269,25749.269,25737.46788888889,18.332475978548505,23.259073968972615,47.220613724086
2023-01-03 01:15:00,25747.419,25777.999,25744.369,25759.469,25738.914416666667,19.425156265795113,69.58077872339624,44.76917039278377
2023-01-03 01:20:00,25762.419,25762.419,25752.419,25752.419,25739.904882352945,18.75193081823832,37.93099785765946,44.76917039278377
2023-01-03 01:25:00,25754.469,25757.369,25752.519,25757.369,25740.785296296297,17.766078616935378,62.124062687689246,44.76917039278377
2023-01-03 01:30:00,25762.369,25772.519,25752.319,25772.469,25742.100228070176,17.93993014429719,88.78757615501979,42.492830156574556
2023-01-03 01:35:00,25767.469,25772.999,25767.269,25767.469,25743.4575,17.06779227684736,60.55604013505326,42.492830156574556
2023-01-03 01:40:00,25762.469,25762.519,25747.469,25749.469,25743.919158730158,17.277235685643976,18.409651385793396,42.492830156574556
2023-01-03 01:45:00,25752.419,25752.469,25737.269,25737.519,25743.850969696967,17.128861708098032,9.567829903187075,40.8743450637048
